"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qunkexcep","qfailed","dstype"
"20",268,"dbpseed1prdrotatednt","Virtuoso","sparql10",292.475014697237,995,3402,0,0,0,"rot"
"21",268,"dbpseed1prdrotatednt","Virtuoso","sparql23",261.417322834646,996,3810,0,0,0,"rot"
"22",268,"dbpseed1prdrotatednt","Virtuoso","sparql22",114.852398523985,996,8672,0,0,0,"rot"
"23",268,"dbpseed1prdrotatednt","Virtuoso","sparql21",134.051144010767,996,7430,0,0,0,"rot"
"24",268,"dbpseed1prdrotatednt","Virtuoso","sparql20",33.2166083041521,996,29985,0,0,0,"rot"
"25",269,"dbpseed123prdrotatednt","Virtuoso","sparql9",9.25148992017901,860,92958,0,0,0,"rot"
"26",269,"dbpseed123prdrotatednt","Virtuoso","sparql8",327.612509534706,859,2622,0,0,0,"rot"
"27",269,"dbpseed123prdrotatednt","Virtuoso","sparql7",8.16838266023327,860,105284,0,0,0,"rot"
"28",269,"dbpseed123prdrotatednt","Virtuoso","sparql6",125.971550080657,859,6819,0,0,0,"rot"
"29",269,"dbpseed123prdrotatednt","Virtuoso","sparql5",66.2553027381412,859,12965,0,0,0,"rot"
"30",269,"dbpseed123prdrotatednt","Virtuoso","sparql4",49.536317032429,860,17361,0,0,0,"rot"
"31",269,"dbpseed123prdrotatednt","Virtuoso","sparql3",14.9508014324954,860,57522,0,0,0,"rot"
"32",269,"dbpseed123prdrotatednt","Virtuoso","sparql2",0.628203637438011,859,1367391,0,0,0,"rot"
"33",269,"dbpseed123prdrotatednt","Virtuoso","sparql1",4.85689113786794,860,177068,0,0,0,"rot"
"34",269,"dbpseed123prdrotatednt","Virtuoso","sparql0",8.24149496885482,860,104350,0,0,0,"rot"
"35",269,"dbpseed123prdrotatednt","Virtuoso","sparql19",200.60648472125,860,4287,0,0,0,"rot"
"36",269,"dbpseed123prdrotatednt","Virtuoso","sparql18",0.775595088859749,860,1108826,0,0,0,"rot"
"37",269,"dbpseed123prdrotatednt","Virtuoso","sparql17",313.732651570489,859,2738,0,0,0,"rot"
"38",269,"dbpseed123prdrotatednt","Virtuoso","sparql16",60.1398601398601,860,14300,0,0,0,"rot"
"39",269,"dbpseed123prdrotatednt","Virtuoso","sparql15",461.621041331186,860,1863,0,0,0,"rot"
"40",269,"dbpseed123prdrotatednt","Virtuoso","sparql14",231.431646932185,860,3716,0,0,0,"rot"
"41",269,"dbpseed123prdrotatednt","Virtuoso","sparql13",5.49373331118805,860,156542,0,0,0,"rot"
"42",269,"dbpseed123prdrotatednt","Virtuoso","sparql12",3.06551421413634,859,280214,0,0,0,"rot"
"43",269,"dbpseed123prdrotatednt","Virtuoso","sparql11",82.312404287902,860,10448,0,0,0,"rot"
"44",269,"dbpseed123prdrotatednt","Virtuoso","sparql10",211.264141662568,859,4066,0,0,0,"rot"
"45",269,"dbpseed123prdrotatednt","Virtuoso","sparql23",56.5826699124942,860,15199,0,0,0,"rot"
"46",269,"dbpseed123prdrotatednt","Virtuoso","sparql22",180.293501048218,860,4770,0,0,0,"rot"
"47",269,"dbpseed123prdrotatednt","Virtuoso","sparql21",91.6942104701994,860,9379,0,0,0,"rot"
"48",269,"dbpseed123prdrotatednt","Virtuoso","sparql20",52.4038754493937,860,16411,0,0,0,"rot"
"49",270,"dbpseed159prdrotatednt","Virtuoso","sparql9",9.39066739618344,841,89557,0,0,0,"rot"
"50",270,"dbpseed159prdrotatednt","Virtuoso","sparql8",312.175204157387,841,2694,0,0,0,"rot"
"51",270,"dbpseed159prdrotatednt","Virtuoso","sparql7",10.8559552853399,841,77469,0,0,0,"rot"
"52",270,"dbpseed159prdrotatednt","Virtuoso","sparql6",102.510970258411,841,8204,0,0,0,"rot"
"53",270,"dbpseed159prdrotatednt","Virtuoso","sparql5",35.8773089885244,841,23441,0,0,0,"rot"
"54",270,"dbpseed159prdrotatednt","Virtuoso","sparql4",259.64803951837,841,3239,0,0,0,"rot"
"55",270,"dbpseed159prdrotatednt","Virtuoso","sparql3",13.6506029963155,841,61609,0,0,0,"rot"
"56",270,"dbpseed159prdrotatednt","Virtuoso","sparql2",0.443037074459202,841,1898261,0,0,0,"rot"
"57",270,"dbpseed159prdrotatednt","Virtuoso","sparql1",5.28804436675511,841,159038,0,0,0,"rot"
"58",270,"dbpseed159prdrotatednt","Virtuoso","sparql0",8.06266058212218,841,104308,0,0,0,"rot"
"59",270,"dbpseed159prdrotatednt","Virtuoso","sparql19",198.349056603774,841,4240,0,0,0,"rot"
"60",270,"dbpseed159prdrotatednt","Virtuoso","sparql18",1.7798339103861,841,472516,0,0,0,"rot"
"61",270,"dbpseed159prdrotatednt","Virtuoso","sparql17",326.348467209934,841,2577,0,0,0,"rot"
"62",270,"dbpseed159prdrotatednt","Virtuoso","sparql16",29.1326035748926,841,28868,0,0,0,"rot"
"63",270,"dbpseed159prdrotatednt","Virtuoso","sparql15",408.252427184466,841,2060,0,0,0,"rot"
"64",270,"dbpseed159prdrotatednt","Virtuoso","sparql14",235.640235360045,841,3569,0,0,0,"rot"
"65",270,"dbpseed159prdrotatednt","Virtuoso","sparql13",7.6446900764469,841,110011,0,0,0,"rot"
"66",270,"dbpseed159prdrotatednt","Virtuoso","sparql12",2.79513427279979,841,300880,0,0,0,"rot"
"67",270,"dbpseed159prdrotatednt","Virtuoso","sparql11",8.74478117275616,842,96286,0,0,0,"rot"
"68",270,"dbpseed159prdrotatednt","Virtuoso","sparql10",37.5345889493886,841,22406,0,0,0,"rot"
"69",270,"dbpseed159prdrotatednt","Virtuoso","sparql23",278.846153846154,841,3016,0,0,0,"rot"
"70",270,"dbpseed159prdrotatednt","Virtuoso","sparql22",182.508680555556,841,4608,0,0,0,"rot"
"71",270,"dbpseed159prdrotatednt","Virtuoso","sparql21",14.9436724830307,841,56278,0,0,0,"rot"
"72",270,"dbpseed159prdrotatednt","Virtuoso","sparql20",20.7664576028446,841,40498,0,0,0,"rot"
"73",271,"dbpseed321prdrotatednt","Virtuoso","sparql9",7.12573401658273,324,45469,0,0,0,"rot"
"74",271,"dbpseed321prdrotatednt","Virtuoso","sparql8",293.478260869565,324,1104,0,0,0,"rot"
"75",271,"dbpseed321prdrotatednt","Virtuoso","sparql7",6.86717110701342,324,47181,0,0,0,"rot"
"76",271,"dbpseed321prdrotatednt","Virtuoso","sparql6",96.6875559534467,324,3351,0,0,0,"rot"
"77",271,"dbpseed321prdrotatednt","Virtuoso","sparql5",35.487404162103,324,9130,0,0,0,"rot"
"78",271,"dbpseed321prdrotatednt","Virtuoso","sparql4",103.580562659847,324,3128,0,0,0,"rot"
"79",271,"dbpseed321prdrotatednt","Virtuoso","sparql3",11.7450880881607,324,27586,0,0,0,"rot"
