"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qfailed","dstype"
"23",100,"seed159prdrotatednt","Fuseki","sparql0",40,4,100,0,0,"rot"
"24",100,"seed159prdrotatednt","Fuseki","sparql7",0.00303960298732182,3,986971,1,1,"rot"
"25",101,"seed1prdrotatednt","Fuseki","sparql6",0.46264168401573,6,12969,0,0,"rot"
"26",101,"seed1prdrotatednt","Fuseki","sparql5",0,0,2160529,6,6,"rot"
"27",101,"seed1prdrotatednt","Fuseki","sparql4",30.4878048780488,5,164,0,0,"rot"
"28",101,"seed1prdrotatednt","Fuseki","sparql3",0.0644371415684,5,77595,0,0,"rot"
"29",101,"seed1prdrotatednt","Fuseki","sparql2",80.6451612903226,5,62,0,0,"rot"
"30",101,"seed1prdrotatednt","Fuseki","sparql1",6.13496932515337,5,815,0,0,"rot"
"31",101,"seed1prdrotatednt","Fuseki","sparql0",46.2962962962963,5,108,0,0,"rot"
"32",101,"seed1prdrotatednt","Fuseki","sparql7",0.00300817245251036,4,1329711,1,1,"rot"
"33",102,"seed321prdrotatednt","Fuseki","sparql6",0.437062937062937,4,9152,0,0,"rot"
"34",102,"seed321prdrotatednt","Fuseki","sparql5",0,0,2162042,0,4,"rot"
"35",102,"seed321prdrotatednt","Fuseki","sparql4",28.169014084507,4,142,0,0,"rot"
"36",102,"seed321prdrotatednt","Fuseki","sparql3",0.0629079185342455,4,63585,0,0,"rot"
"37",102,"seed321prdrotatednt","Fuseki","sparql2",70.1754385964912,4,57,0,0,"rot"
"38",102,"seed321prdrotatednt","Fuseki","sparql1",5.56328233657858,4,719,0,0,"rot"
"39",102,"seed321prdrotatednt","Fuseki","sparql0",38.0952380952381,4,105,0,0,"rot"
"40",102,"seed321prdrotatednt","Fuseki","sparql7",0.00171949381541062,2,1163133,2,2,"rot"
"41",103,"seed333prdrotatednt","Fuseki","sparql6",0.472143531633617,5,10590,0,0,"rot"
"42",103,"seed333prdrotatednt","Fuseki","sparql5",0,0,2256987,0,5,"rot"
"43",103,"seed333prdrotatednt","Fuseki","sparql4",9.63391136801541,5,519,0,0,"rot"
